Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,no_of_special_requests,booking_status
1,2,0,1,2,0,224,2017,10,2,0,Not_Canceled
2,2,0,2,3,0,5,2018,11,6,1,Not_Canceled
3,1,0,2,1,0,1,2018,2,28,0,Canceled
4,2,0,0,2,0,211,2018,5,20,0,Canceled
5,2,0,1,1,0,48,2018,4,11,0,Canceled
6,2,0,0,2,0,346,2018,9,13,1,Canceled
7,2,0,1,3,0,34,2017,10,15,1,Not_Canceled
8,2,0,1,3,0,83,2018,12,26,1,Not_Canceled
9,3,0,0,4,0,121,2018,7,6,1,Not_Canceled
10,2,0,0,5,0,44,2018,10,18,3,Not_Canceled
11,1,0,1,0,0,0,2018,9,11,0,Not_Canceled
12,1,0,2,1,0,35,2018,4,30,1,Not_Canceled
13,2,0,2,1,0,30,2018,11,26,0,Canceled
14,1,0,2,0,0,95,2018,11,20,2,Canceled
15,2,0,0,2,0,47,2017,10,20,2,Not_Canceled
16,2,0,0,2,0,256,2018,6,15,1,Canceled
17,1,0,1,0,0,0,2017,10,5,0,Not_Canceled
18,2,0,1,3,0,1,2017,8,10,1,Not_Canceled
19,2,0,2,2,0,99,2017,10,30,0,Canceled
20,2,0,1,0,0,12,2017,10,4,0,Not_Canceled
21,2,0,2,2,0,99,2017,10,30,0,Canceled
22,1,0,0,1,0,122,2018,11,25,0,Not_Canceled
23,2,0,2,4,0,2,2018,3,20,0,Not_Canceled
24,2,0,0,3,0,37,2018,10,13,0,Not_Canceled
25,2,0,2,1,0,130,2018,5,22,1,Not_Canceled
26,2,0,0,2,0,99,2018,4,28,1,Not_Canceled
27,2,0,1,1,0,60,2017,9,21,0,Not_Canceled
28,1,0,0,2,0,2,2018,5,19,0,Canceled
29,1,0,1,2,0,37,2017,11,6,0,Canceled
30,2,0,0,2,0,56,2017,9,17,0,Not_Canceled
31,2,0,1,1,0,3,2017,9,19,1,Not_Canceled
32,2,0,2,2,0,107,2018,11,13,1,Not_Canceled
33,0,2,0,3,0,56,2018,12,7,1,Not_Canceled
